Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,17 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
12/31/20,0.08,0.08,0.08,0.08,0.09,0.09,,,0.09,0.09,0.1,0.1
12/30/20,0.06,0.06,0.06,0.06,0.08,0.08,,,0.09,0.09,0.12,0.12
12/29/20,0.08,0.08,0.09,0.09,0.1,0.1,,,0.12,0.12,0.11,0.11
12/28/20,0.09,0.09,0.1,0.1,0.11,0.11,,,0.11,0.11,0.11,0.11
12/24/20,0.09,0.09,0.09,0.09,0.09,0.09,,,0.09,0.09,0.1,0.1
12/23/20,0.07,0.07,0.08,0.08,0.09,0.09,,,0.09,0.09,0.09,0.09
12/22/20,0.06,0.06,0.09,0.09,0.09,0.09,,,0.09,0.09,0.09,0.09
12/21/20,0.08,0.08,0.09,0.09,0.09,0.09,,,0.09,0.09,0.09,0.09
12/18/20,0.08,0.08,0.08,0.08,0.08,0.08,,,0.09,0.09,0.09,0.09
12/17/20,0.08,0.08,0.09,0.09,0.08,0.08,,,0.09,0.09,0.09,0.09
12/16/20,0.08,0.08,0.08,0.08,0.09,0.09,,,0.09,0.09,0.09,0.09
12/15/20,0.07,0.07,0.08,0.08,0.08,0.08,,,0.08,0.08,0.09,0.09
12/14/20,0.07,0.07,0.08,0.08,0.09,0.09,,,0.08,0.08,0.1,0.1
12/11/20,0.08,0.08,0.08,0.08,0.08,0.08,,,0.08,0.08,0.1,0.1
12/10/20,0.07,0.07,0.08,0.08,0.08,0.08,,,0.09,0.09,0.1,0.1
12/9/20,0.07,0.07,0.07,0.07,0.08,0.08,,,0.09,0.09,0.1,0.1
12/8/20,0.08,0.08,0.08,0.08,0.09,0.09,,,0.09,0.09,0.1,0.1
12/7/20,0.09,0.09,0.08,0.08,0.08,0.08,,,0.1,0.1,0.1,0.1
12/4/20,0.07,0.07,0.07,0.07,0.09,0.09,,,0.1,0.1,0.11,0.11
12/3/20,0.08,0.08,0.08,0.08,0.08,0.08,,,0.09,0.09,0.1,0.1
12/2/20,0.07,0.07,0.08,0.08,0.09,0.09,,,0.1,0.1,0.11,0.11
12/1/20,0.07,0.07,0.07,0.07,0.09,0.09,,,0.1,0.1,0.12,0.12
11/30/20,0.08,0.08,0.08,0.08,0.08,0.08,,,0.09,0.09,0.11,0.11
11/27/20,0.09,0.09,0.09,0.09,0.09,0.09,,,0.1,0.1,0.11,0.11
11/25/20,0.07,0.07,0.07,0.07,0.09,0.09,,,0.09,0.09,0.11,0.11
11/24/20,0.08,0.08,0.08,0.08,0.09,0.09,,,0.1,0.1,0.11,0.11
11/23/20,0.08,0.08,0.08,0.08,0.08,0.08,,,0.08,0.08,0.1,0.1
11/20/20,0.09,0.09,0.09,0.09,0.07,0.07,,,0.1,0.1,0.11,0.11
11/19/20,0.08,0.08,0.08,0.08,0.07,0.07,,,0.1,0.1,0.11,0.11
11/18/20,0.07,0.07,0.09,0.09,0.09,0.09,,,0.1,0.1,0.11,0.11
11/17/20,0.08,0.08,0.08,0.08,0.09,0.09,,,0.1,0.1,0.12,0.12
11/16/20,0.09,0.09,0.1,0.1,0.09,0.09,,,0.12,0.12,0.12,0.12
11/13/20,0.1,0.1,0.09,0.09,0.09,0.09,,,0.1,0.1,0.12,0.12
11/12/20,0.1,0.1,0.11,0.11,0.1,0.1,,,0.1,0.1,0.13,0.13
11/10/20,0.09,0.09,0.09,0.09,0.1,0.1,,,0.11,0.11,0.12,0.12
11/9/20,0.1,0.1,0.1,0.1,0.11,0.11,,,0.11,0.11,0.12,0.12
11/6/20,0.1,0.1,0.1,0.1,0.1,0.1,,,0.11,0.11,0.12,0.12
11/5/20,0.09,0.09,0.1,0.1,0.1,0.1,,,0.1,0.1,0.12,0.12
11/4/20,0.08,0.08,0.09,0.09,0.1,0.1,,,0.1,0.1,0.12,0.12
11/3/20,0.09,0.09,0.1,0.1,0.1,0.1,,,0.12,0.12,0.14,0.14
11/2/20,0.09,0.09,0.09,0.09,0.09,0.09,,,0.11,0.11,0.13,0.13
10/30/20,0.08,0.08,0.09,0.09,0.09,0.09,,,0.11,0.11,0.13,0.13
10/29/20,0.08,0.08,0.1,0.1,0.09,0.09,,,0.1,0.1,0.12,0.12
10/28/20,0.07,0.07,0.09,0.09,0.1,0.1,,,0.11,0.11,0.12,0.12
10/27/20,0.08,0.08,0.09,0.09,0.1,0.1,,,0.11,0.11,0.12,0.12
10/26/20,0.08,0.08,0.09,0.09,0.11,0.11,,,0.12,0.12,0.12,0.12
10/23/20,0.08,0.08,0.09,0.09,0.1,0.1,,,0.11,0.11,0.12,0.12
10/22/20,0.09,0.09,0.09,0.09,0.09,0.09,,,0.11,0.11,0.13,0.13
10/21/20,0.08,0.08,0.09,0.09,0.1,0.1,,,0.12,0.12,0.13,0.13
10/20/20,0.08,0.08,0.09,0.09,0.1,0.1,,,0.12,0.12,0.13,0.13
10/19/20,0.09,0.09,0.1,0.1,0.11,0.11,,,0.11,0.11,0.13,0.13
10/16/20,0.09,0.09,0.1,0.1,0.11,0.11,,,0.12,0.12,0.12,0.12
10/15/20,0.1,0.1,0.1,0.1,0.11,0.11,,,0.12,0.12,0.12,0.12
10/14/20,0.1,0.1,0.1,0.1,0.12,0.12,,,0.12,0.12,0.13,0.13
10/13/20,0.09,0.09,0.09,0.09,0.11,0.11,,,0.12,0.12,0.13,0.13
10/9/20,0.1,0.1,0.11,0.11,0.1,0.1,,,0.12,0.12,0.15,0.15
10/8/20,0.09,0.09,0.09,0.09,0.09,0.09,,,0.12,0.12,0.13,0.13
10/7/20,0.08,0.08,0.09,0.09,0.1,0.1,,,0.12,0.12,0.13,0.13
10/6/20,0.08,0.08,0.09,0.09,0.1,0.1,,,0.11,0.11,0.14,0.14
10/5/20,0.09,0.09,0.1,0.1,0.1,0.1,,,0.11,0.11,0.12,0.12
10/2/20,0.1,0.1,0.09,0.09,0.09,0.09,,,0.11,0.11,0.12,0.12
10/1/20,0.09,0.09,0.09,0.09,0.09,0.09,,,0.1,0.1,0.12,0.12
